no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,gender,marital_status,age,employment_type,years_at_current_job,previous_defaults,collateral_value,region,emi_ratio,target
4,Not Graduate,No,6984622,10293086,180,770,1151923,1862788,Male,Married,54,Business,18,0,8330599,Rural,1.47,1
0,Graduate,No,9033656,11191005,120,325,3076748,2483182,Male,Divorced,23,Retired,11,0,4338509,Urban,1.24,0
4,Not Graduate,Yes,4504403,13687435,36,704,3200370,3160978,Female,Divorced,42,Govt Job,19,0,4507037,Semi-Urban,3.04,1
3,Not Graduate,No,9413759,590396,36,587,338084,1574782,Female,Divorced,33,Business,17,0,1165127,Semi-Urban,0.06,0
1,Not Graduate,Yes,565330,17297731,12,418,2319094,1385437,Female,Married,43,Retired,12,1,4978986,Urban,30.6,0
0,Graduate,No,2409353,3651985,6,683,342360,2892956,Male,Married,60,Govt Job,18,0,3992466,Semi-Urban,1.52,0
3,Graduate,Yes,4293524,9493646,24,395,1694629,2619290,Female,Married,48,Student,4,1,4170393,Semi-Urban,2.21,0
4,Not Graduate,No,3137801,18128521,12,666,5603625,3328916,Female,Married,32,Govt Job,21,0,3243657,Urban,5.78,1
1,Graduate,Yes,415741,6068566,6,692,2668541,706269,Male,Married,42,Business,12,0,3349323,Semi-Urban,14.6,1
0,Not Graduate,Yes,7032994,16634389,24,893,5132793,3964201,Female,Divorced,23,Govt Job,5,0,2109187,Rural,2.37,1
4,Graduate,Yes,7702686,3254736,24,460,8443982,3026471,Female,Single,37,Salaried,17,1,1149288,Rural,0.42,0
1,Graduate,Yes,7804869,15233313,240,625,9598849,835347,Female,Divorced,21,Business,13,0,1188262,Semi-Urban,1.95,0
1,Not Graduate,Yes,6813331,7594818,60,738,5852376,4089696,Male,Divorced,49,Salaried,5,0,2895929,Semi-Urban,1.11,1
0,Not Graduate,Yes,2391595,5755826,36,882,8701898,4266534,Male,Married,63,Salaried,26,0,9362684,Urban,2.41,1
2,Not Graduate,Yes,9165956,2405663,24,488,8726526,2381120,Male,Single,35,Student,0,0,695634,Rural,0.26,0
2,Graduate,Yes,8091761,17863665,12,342,3359023,1798445,Male,Single,39,Student,18,0,1880828,Rural,2.21,0
1,Not Graduate,No,4611620,15852575,120,742,5002432,1305769,Female,Single,28,Retired,21,0,973889,Semi-Urban,3.44,0
2,Graduate,No,9719335,5956301,60,810,6257661,2988621,Female,Divorced,39,Business,8,0,539051,Rural,0.61,1
0,Graduate,Yes,5395551,17790558,6,419,2190592,3337547,Female,Single,28,Salaried,1,0,3968048,Rural,3.3,0
1,Not Graduate,No,5550180,19963272,240,700,8855089,4118433,Male,Married,49,Salaried,2,1,3902705,Urban,3.6,0
3,Graduate,Yes,5540696,4034951,36,388,696441,387316,Female,Divorced,32,Student,4,0,3740918,Urban,0.73,0
2,Not Graduate,No,6403594,19211975,180,714,4370027,4801347,Female,Single,31,Salaried,10,1,2367970,Rural,3.0,0
4,Not Graduate,No,6035949,13994931,180,474,6802297,858594,Male,Divorced,63,Business,11,1,3682238,Urban,2.32,0
1,Not Graduate,No,6309238,2882966,12,842,2768736,532209,Male,Married,22,Salaried,12,0,8149573,Semi-Urban,0.46,1
2,Not Graduate,No,2201594,9175837,36,835,3390765,1214890,Male,Married,58,Business,24,0,9625114,Rural,4.17,1
2,Graduate,No,802893,14983896,36,855,8457454,416246,Female,Divorced,42,Govt Job,21,0,7543596,Urban,18.66,1
2,Not Graduate,No,2540074,14290763,180,564,8119792,3585742,Male,Divorced,36,Student,8,0,1983370,Semi-Urban,5.63,0
3,Not Graduate,Yes,7565747,5696333,60,847,9647306,2276557,Female,Divorced,63,Salaried,9,0,4276534,Rural,0.75,1
1,Graduate,Yes,5799375,11568765,6,419,5869486,1413286,Male,Divorced,52,Business,24,0,2660558,Rural,1.99,0
0,Graduate,Yes,9489521,14417605,180,750,259644,2347320,Male,Married,41,Govt Job,15,0,9898018,Semi-Urban,1.52,1
4,Graduate,Yes,3517612,19614190,240,492,6042949,2873178,Female,Single,40,Business,20,0,2391044,Urban,5.58,0
1,Not Graduate,Yes,9482523,4767498,36,308,6496288,2928183,Male,Married,44,Salaried,26,0,4577981,Semi-Urban,0.5,0
3,Not Graduate,No,9934160,2410083,60,577,5328427,4927094,Male,Single,22,Salaried,15,0,1615368,Urban,0.24,0
0,Not Graduate,No,6266513,18937570,120,527,2032421,2708129,Female,Divorced,28,Govt Job,11,0,3714995,Rural,3.02,0
2,Not Graduate,No,2606996,16271050,24,814,2163405,2479276,Female,Single,48,Govt Job,18,0,2195019,Rural,6.24,1
0,Graduate,Yes,8271271,5590406,36,346,849651,683433,Male,Single,58,Govt Job,3,1,623970,Semi-Urban,0.68,0
1,Graduate,No,8497440,15212844,240,785,7830079,3749103,Male,Divorced,64,Govt Job,21,0,9931103,Rural,1.79,1
1,Graduate,No,7081667,2173342,6,534,2900495,3095591,Male,Divorced,24,Business,23,0,1969851,Semi-Urban,0.31,0
2,Not Graduate,Yes,1980164,14634856,6,624,3949900,4963027,Male,Divorced,41,Salaried,21,0,3004375,Semi-Urban,7.39,0
3,Graduate,Yes,7046082,13169428,240,774,7959042,465731,Male,Married,45,Salaried,22,0,838086,Semi-Urban,1.87,1
3,Not Graduate,Yes,7743741,3355325,180,721,2047655,1498915,Male,Divorced,46,Govt Job,10,0,119338,Rural,0.43,1
0,Graduate,Yes,4013714,10319704,6,461,2878717,3243982,Female,Single,46,Govt Job,6,0,4228756,Rural,2.57,0
4,Graduate,Yes,3493185,18593112,36,718,2621738,819805,Male,Single,27,Business,24,1,4978164,Rural,5.32,0
2,Not Graduate,Yes,3704626,4057942,180,733,7425485,4801664,Female,Married,28,Business,21,0,7599714,Urban,1.1,1
3,Not Graduate,Yes,5152823,14579040,180,700,336571,4078538,Male,Single,30,Govt Job,27,0,2672672,Semi-Urban,2.83,1
1,Not Graduate,Yes,9861920,9085025,180,509,9542653,1667282,Male,Married,45,Salaried,22,1,429680,Semi-Urban,0.92,0
0,Graduate,No,6955163,9354476,36,332,3192954,907339,Male,Divorced,43,Salaried,19,0,1174416,Semi-Urban,1.34,0
1,Graduate,No,792864,9862156,12,538,4151803,1593930,Male,Single,22,Student,28,0,2117023,Rural,12.44,0
3,Not Graduate,Yes,7214178,690244,240,757,472072,1607048,Male,Divorced,50,Govt Job,16,0,1253483,Urban,0.1,1
4,Graduate,Yes,2545821,15922984,24,380,3858493,1431932,Male,Married,29,Retired,10,0,2888744,Urban,6.25,0
0,Graduate,Yes,7568713,4266652,240,449,1637398,1923347,Female,Married,61,Student,24,0,1006897,Rural,0.56,0
0,Not Graduate,Yes,4537101,704007,180,427,8998122,4195824,Male,Married,26,Business,15,1,4386438,Rural,0.16,0
4,Graduate,Yes,3911588,8345687,24,763,739130,410646,Female,Divorced,22,Salaried,9,0,7206219,Rural,2.13,1
4,Graduate,No,1731806,1686581,6,331,4891012,2516085,Female,Married,33,Retired,24,1,322582,Semi-Urban,0.97,0
1,Graduate,Yes,7209541,13327264,6,512,169679,4934702,Female,Married,49,Retired,15,0,1255287,Urban,1.85,0
1,Graduate,Yes,6190483,3623383,240,757,9194574,1373753,Female,Single,35,Salaried,2,0,869623,Semi-Urban,0.59,1
3,Not Graduate,Yes,1526810,11442743,36,724,9956285,1880571,Male,Single,51,Business,24,0,8514394,Urban,7.49,1
3,Graduate,Yes,729309,3070491,180,677,7183140,591574,Male,Divorced,46,Govt Job,20,0,7054782,Semi-Urban,4.21,1
0,Graduate,No,8198116,10875717,60,668,3313185,2972501,Female,Married,43,Govt Job,3,0,6591860,Urban,1.33,1
1,Not Graduate,Yes,9511877,18978387,180,726,3467191,1296480,Female,Married,29,Student,19,0,1129482,Urban,2.0,0
4,Graduate,Yes,7586426,8420999,240,764,2963368,3178396,Female,Single,64,Business,15,0,6775934,Urban,1.11,1
4,Not Graduate,Yes,579270,16793295,240,512,9410006,398688,Male,Married,48,Salaried,28,1,446869,Semi-Urban,28.99,0
4,Not Graduate,Yes,9566926,11065415,12,556,3663715,3081879,Female,Divorced,39,Salaried,11,1,1950065,Rural,1.16,0
2,Graduate,No,4686004,18649668,60,610,7057472,574498,Female,Single,21,Student,23,0,4777825,Semi-Urban,3.98,0
2,Not Graduate,No,3327379,16731202,120,852,8938837,1687887,Male,Divorced,41,Salaried,21,0,1467155,Semi-Urban,5.03,1
2,Not Graduate,Yes,3937389,1940621,180,633,1071838,1568320,Female,Divorced,29,Salaried,26,0,3640720,Semi-Urban,0.49,1
4,Graduate,No,9867137,17112742,120,721,1342225,4544067,Male,Single,30,Business,7,0,720996,Urban,1.73,1
1,Not Graduate,Yes,5031189,11939374,120,545,8046659,3898017,Male,Divorced,51,Govt Job,4,0,2296951,Semi-Urban,2.37,0
4,Not Graduate,No,6944771,383773,36,754,497832,3592202,Female,Married,29,Salaried,15,0,9762909,Rural,0.06,1
1,Graduate,Yes,5760054,14553440,180,831,3918769,4965340,Male,Married,38,Salaried,26,0,9365849,Rural,2.53,1
0,Not Graduate,No,8844280,12362221,240,894,5492165,2904983,Male,Single,32,Business,18,0,1132153,Urban,1.4,1
3,Graduate,Yes,8362668,2046436,36,748,1739395,2651865,Male,Single,59,Salaried,12,0,1246822,Semi-Urban,0.24,1
2,Graduate,Yes,5335538,19285690,6,304,771395,1734119,Male,Divorced,62,Business,19,0,1494395,Semi-Urban,3.61,0
2,Graduate,Yes,3058687,12668331,36,746,8705451,2888114,Male,Divorced,31,Business,3,0,2349445,Rural,4.14,1
4,Not Graduate,No,528479,4252084,36,489,8596278,1322125,Male,Divorced,42,Govt Job,20,0,3775921,Semi-Urban,8.05,0
3,Not Graduate,No,5873255,4500027,36,635,2755081,4672685,Female,Single,50,Govt Job,2,0,3129607,Semi-Urban,0.77,1
0,Graduate,Yes,6011119,1446084,240,624,653369,2916164,Male,Single,27,Salaried,25,0,989527,Semi-Urban,0.24,1
0,Graduate,Yes,3471358,11266836,12,668,2125172,782084,Female,Single,34,Salaried,22,0,7043990,Rural,3.25,1
4,Graduate,Yes,4723897,10530405,60,685,5290676,602137,Male,Married,36,Student,11,0,3262180,Urban,2.23,0
4,Graduate,Yes,2990134,14131692,36,812,1432988,3536161,Female,Divorced,24,Business,22,0,5533033,Semi-Urban,4.73,1
4,Not Graduate,Yes,1613833,6784442,60,477,713060,2938171,Male,Single,38,Business,2,0,1843974,Rural,4.2,0
4,Not Graduate,No,2257361,1477620,240,469,9420415,2861534,Female,Single,39,Student,0,0,3535531,Rural,0.65,0
1,Graduate,Yes,9240482,5164871,24,616,2857903,4631096,Male,Single,41,Salaried,24,0,2747646,Urban,0.56,0
2,Not Graduate,No,5582110,7391150,240,328,942958,2891192,Male,Single,55,Salaried,14,1,4780343,Semi-Urban,1.32,0
2,Graduate,No,6359468,3955743,60,783,219833,2117103,Male,Married,21,Govt Job,20,0,5723920,Urban,0.62,1
3,Not Graduate,Yes,685955,4057907,24,862,7648982,4876437,Female,Single,21,Business,29,0,7586951,Rural,5.92,1
0,Not Graduate,No,5279579,10091457,240,389,658744,3879719,Male,Single,60,Salaried,27,1,2144380,Rural,1.91,0
0,Not Graduate,Yes,9416189,17243604,6,333,8945338,4737098,Male,Divorced,46,Retired,16,1,2895596,Rural,1.83,0
2,Graduate,Yes,5348406,11389203,6,865,694611,4798186,Female,Divorced,26,Business,5,0,9676612,Rural,2.13,1
4,Not Graduate,No,4898301,6358395,12,689,7133100,4967255,Female,Single,49,Business,26,0,3814456,Rural,1.3,1
3,Graduate,No,6262133,17880537,24,490,3308286,539452,Female,Divorced,58,Retired,3,0,1892327,Urban,2.86,0
2,Not Graduate,No,1063040,4855642,60,713,293388,3380569,Male,Single,32,Business,11,0,6572338,Urban,4.57,1
1,Not Graduate,Yes,7465719,14358821,12,799,6275191,305613,Male,Divorced,54,Salaried,18,0,6616020,Urban,1.92,1
2,Not Graduate,No,2343975,14995073,60,491,935064,2346709,Female,Married,25,Salaried,5,1,2772900,Urban,6.4,0
3,Graduate,Yes,6942819,9107942,36,606,5272502,1673600,Female,Divorced,29,Student,28,1,3227806,Urban,1.31,0
3,Not Graduate,No,1472739,13538558,60,843,101464,3253214,Female,Married,40,Business,1,0,9681966,Semi-Urban,9.19,1
0,Not Graduate,Yes,3233424,16921726,240,899,5644039,1692376,Female,Divorced,39,Salaried,3,0,3247442,Semi-Urban,5.23,1
1,Graduate,No,8133974,19304948,120,752,9667839,494988,Male,Single,54,Govt Job,20,0,7951695,Semi-Urban,2.37,1
4,Graduate,No,4015031,1679991,36,643,5503047,4181609,Male,Divorced,27,Business,8,0,8563840,Semi-Urban,0.42,1
4,Graduate,Yes,9681479,17670432,24,687,4712057,1468022,Male,Single,42,Student,7,0,3778712,Semi-Urban,1.83,0
2,Graduate,Yes,6821836,19479054,180,788,8447792,1441326,Male,Divorced,41,Salaried,17,0,944682,Urban,2.86,1
3,Graduate,Yes,3223009,5877408,24,415,7897976,219743,Female,Married,39,Student,4,0,1762319,Rural,1.82,0
0,Graduate,Yes,5819107,5991159,60,755,6280238,2073949,Male,Divorced,38,Salaried,8,0,5724194,Urban,1.03,1
1,Not Graduate,No,6839989,7839256,6,331,3153905,4695146,Female,Married,36,Student,9,1,1058721,Urban,1.15,0
0,Not Graduate,Yes,7779739,10439992,36,487,7891400,1563746,Male,Divorced,56,Business,4,0,2320105,Semi-Urban,1.34,0
3,Not Graduate,No,9129885,13498526,240,609,4839904,4141884,Male,Single,32,Govt Job,9,0,2641793,Semi-Urban,1.48,1
2,Not Graduate,No,1966709,4878280,120,805,9714949,533456,Female,Married,40,Salaried,9,0,8856115,Semi-Urban,2.48,1
1,Not Graduate,Yes,4232269,14811809,36,462,3643466,2765538,Male,Divorced,32,Salaried,19,0,327089,Semi-Urban,3.5,0
4,Not Graduate,Yes,2301116,15920960,120,655,1696313,3411,Male,Married,41,Govt Job,28,0,2194588,Urban,6.92,1
3,Graduate,Yes,7210669,10019656,12,787,9808326,4657716,Female,Married,30,Business,14,0,799970,Rural,1.39,1
2,Graduate,No,8761640,3711835,24,627,9056376,3384489,Male,Divorced,32,Salaried,9,0,290839,Urban,0.42,1
0,Graduate,No,2333081,19530646,6,725,2920740,1167363,Female,Single,63,Business,29,0,9818928,Semi-Urban,8.37,1
3,Graduate,Yes,8265361,14191537,12,854,3085454,1851435,Male,Single,44,Govt Job,8,0,2617309,Rural,1.72,1
0,Graduate,Yes,8243977,16738162,180,682,2218461,3742490,Male,Married,49,Salaried,6,0,3627317,Urban,2.03,0
2,Graduate,No,6716232,1342292,180,659,1906863,2005115,Male,Divorced,64,Business,25,0,4245180,Urban,0.2,1
1,Graduate,Yes,2371025,11614452,24,861,5573687,3319642,Male,Divorced,55,Salaried,16,0,7681244,Rural,4.9,1
2,Graduate,No,5183318,16081862,24,692,5048996,2349513,Female,Divorced,23,Govt Job,16,0,2467596,Rural,3.1,0
0,Graduate,Yes,8844305,1535926,120,651,4539970,3106237,Male,Divorced,46,Salaried,22,0,5488991,Urban,0.17,1
1,Not Graduate,Yes,9772115,3597408,24,660,4829438,2237816,Female,Divorced,46,Salaried,25,0,2020470,Rural,0.37,1
3,Not Graduate,No,7228452,7088383,60,876,8384028,818490,Female,Single,26,Salaried,17,0,2216601,Semi-Urban,0.98,1
0,Graduate,No,8279380,14194508,36,594,235745,1066674,Female,Married,55,Retired,29,0,3800227,Semi-Urban,1.71,0
1,Not Graduate,Yes,9167720,1523246,12,404,2478236,2983,Male,Single,62,Student,7,0,4896624,Rural,0.17,0
3,Not Graduate,Yes,609058,178615,240,696,8127910,2114758,Female,Divorced,61,Salaried,16,0,6840493,Semi-Urban,0.29,1
1,Graduate,No,1312674,19353210,240,626,6835953,3589692,Female,Married,56,Business,26,0,3863176,Semi-Urban,14.74,0
0,Graduate,Yes,1808175,10821846,240,802,3990448,879820,Female,Divorced,59,Salaried,10,0,7004373,Rural,5.98,1
4,Not Graduate,Yes,8851511,5480323,24,414,7806166,2241778,Female,Single,47,Business,17,0,2445975,Rural,0.62,0
3,Graduate,Yes,2594708,14172353,24,649,451129,707422,Male,Married,24,Govt Job,4,0,4209012,Semi-Urban,5.46,0
4,Not Graduate,No,7428475,16476510,36,728,1825083,1567431,Female,Single,51,Business,22,1,3311287,Semi-Urban,2.22,0
1,Not Graduate,No,7657353,17058313,120,668,7123475,2973775,Female,Single,25,Business,6,1,3378828,Rural,2.23,0
4,Graduate,No,7402535,14027566,36,718,4095506,4306076,Male,Single,51,Govt Job,27,0,2052145,Urban,1.89,0
2,Graduate,No,6691394,6628666,6,519,555912,1857965,Female,Married,61,Student,14,0,1626826,Rural,0.99,0
4,Not Graduate,No,4447952,4051973,36,589,3246570,1472595,Male,Divorced,32,Business,5,1,2351475,Rural,0.91,0
3,Graduate,Yes,1767958,6219122,36,867,9013659,4607629,Male,Divorced,57,Govt Job,27,0,6153235,Rural,3.52,1
4,Not Graduate,Yes,8688198,15079136,36,622,6128453,3109822,Female,Divorced,26,Business,23,0,6587999,Rural,1.74,1
0,Graduate,Yes,5181683,16279373,12,625,8810674,113801,Female,Divorced,54,Govt Job,8,0,400671,Rural,3.14,0
0,Graduate,No,3577323,4251809,120,819,9583112,3311620,Male,Married,27,Govt Job,7,0,9438789,Semi-Urban,1.19,1
2,Graduate,Yes,1087700,11163418,180,684,7735589,1937674,Female,Married,43,Salaried,15,0,1949759,Urban,10.26,1
1,Graduate,No,9543343,728417,6,724,2767140,2560280,Male,Single,57,Business,25,0,1264482,Rural,0.08,1
3,Graduate,No,9604468,963775,36,408,800370,1681773,Male,Single,25,Business,24,0,4226839,Rural,0.1,0
0,Graduate,Yes,8159373,15718690,120,861,3561007,3033819,Male,Divorced,50,Govt Job,14,0,4871089,Semi-Urban,1.93,1
3,Graduate,Yes,3284706,17410203,12,354,909224,1199656,Male,Divorced,28,Business,24,1,937185,Rural,5.3,0
1,Graduate,No,4144895,9149299,6,318,8908379,2862622,Female,Divorced,24,Salaried,18,0,1443122,Semi-Urban,2.21,0
4,Not Graduate,No,2137356,13205447,240,730,8183112,557800,Male,Single,56,Salaried,13,0,2917044,Semi-Urban,6.18,0
4,Not Graduate,Yes,6234232,17392567,24,427,5209847,4395743,Female,Married,40,Business,2,0,4149850,Semi-Urban,2.79,0
4,Graduate,Yes,6512856,4144013,120,638,7241333,2574396,Male,Married,50,Govt Job,10,0,9049367,Rural,0.64,1
0,Not Graduate,Yes,6949461,11347856,12,802,5516248,550127,Male,Divorced,63,Business,20,0,5841141,Rural,1.63,1
1,Graduate,Yes,5821676,19737973,120,641,3723424,3762622,Male,Married,59,Business,14,0,6054949,Urban,3.39,1
3,Graduate,Yes,3597456,12800373,12,420,3089652,1960274,Male,Married,48,Business,25,1,286646,Urban,3.56,0
4,Not Graduate,No,6624106,11918418,24,647,7526543,1504856,Female,Divorced,34,Retired,10,1,3120678,Rural,1.8,0
4,Not Graduate,Yes,4004625,12466531,6,508,8706028,1564215,Male,Divorced,51,Salaried,1,0,4701655,Semi-Urban,3.11,0
0,Graduate,No,4321711,7688906,36,300,6322100,1795131,Male,Single,45,Student,23,1,1397408,Urban,1.78,0
3,Graduate,Yes,6554177,19383641,36,536,8071673,2094750,Female,Divorced,60,Salaried,17,0,4947372,Semi-Urban,2.96,0
3,Not Graduate,Yes,7864258,140645,120,306,3482317,2202336,Male,Married,24,Business,26,0,3711815,Rural,0.02,0
3,Not Graduate,Yes,3273848,5223301,36,491,5664079,2750548,Male,Married,33,Salaried,28,1,4991969,Semi-Urban,1.6,0
3,Graduate,No,1270280,18799200,180,643,446064,996088,Male,Married,41,Business,25,0,4718973,Urban,14.8,1
2,Graduate,Yes,2555548,12984820,60,724,885772,2264511,Male,Single,22,Business,24,1,815544,Rural,5.08,0
2,Graduate,No,5165386,17775113,6,602,1727588,3860321,Male,Divorced,46,Business,4,0,7643360,Semi-Urban,3.44,1
2,Not Graduate,No,6123830,19913982,240,812,9780403,4534089,Female,Married,57,Govt Job,26,0,2706430,Urban,3.25,1
4,Graduate,Yes,920919,17469088,36,820,2965078,2109964,Male,Single,38,Govt Job,2,0,7753863,Urban,18.97,1
4,Graduate,Yes,4507559,13819528,12,657,498921,2913132,Male,Single,52,Business,7,0,2300358,Urban,3.07,1
4,Not Graduate,Yes,203704,13875973,24,650,9601279,2721198,Male,Divorced,25,Govt Job,18,0,2343921,Semi-Urban,68.12,0
3,Not Graduate,No,3729204,6654433,240,457,117037,3041632,Male,Single,28,Retired,4,1,4658784,Rural,1.78,0
4,Graduate,No,6815671,12677705,60,548,9998055,4465905,Female,Divorced,24,Retired,0,1,1607117,Rural,1.86,0
2,Not Graduate,Yes,5736763,18003870,36,361,6409155,3545260,Female,Divorced,29,Salaried,29,1,1655103,Urban,3.14,0
0,Graduate,No,7771660,12202411,180,727,2504921,1633882,Female,Divorced,63,Business,4,0,3054007,Rural,1.57,0
4,Graduate,Yes,5518342,2308882,180,890,4161032,4122873,Female,Divorced,37,Govt Job,27,0,9104753,Semi-Urban,0.42,1
1,Graduate,Yes,7918590,3814718,60,775,1438630,4371170,Female,Divorced,35,Govt Job,14,0,9568361,Semi-Urban,0.48,1
2,Not Graduate,No,7319980,13221897,36,727,797304,1263013,Male,Single,41,Govt Job,8,0,5160263,Rural,1.81,1
4,Graduate,Yes,9358054,16122200,12,847,1053197,3364630,Male,Divorced,42,Govt Job,8,0,9447605,Urban,1.72,1
2,Not Graduate,Yes,262514,10099456,120,311,5675640,1509215,Female,Single,36,Retired,8,1,2319362,Semi-Urban,38.47,0
0,Not Graduate,Yes,2985190,1722090,180,472,4032547,38507,Male,Divorced,51,Business,18,0,504944,Urban,0.58,0
2,Not Graduate,No,3467647,7161500,36,560,2185254,4893394,Male,Divorced,36,Salaried,2,1,4914339,Urban,2.07,0
3,Not Graduate,No,9795582,4101167,240,453,6185782,1326349,Female,Married,61,Salaried,13,1,4856227,Rural,0.42,0
4,Not Graduate,No,7033288,1110428,24,637,420546,3274628,Female,Single,53,Govt Job,10,1,1134816,Rural,0.16,0
0,Graduate,Yes,5206595,3756249,180,872,7346872,4421731,Female,Single,25,Govt Job,12,0,1212774,Rural,0.72,1
1,Graduate,No,6787576,309779,180,417,3513049,3795253,Female,Divorced,37,Salaried,18,0,2184768,Semi-Urban,0.05,0
3,Not Graduate,Yes,2213614,19322619,6,873,1980228,327528,Female,Single,59,Salaried,10,0,7649141,Rural,8.73,1
3,Graduate,No,4339648,2170206,240,864,6948230,19907,Female,Single,37,Business,13,0,7647188,Rural,0.5,1
0,Graduate,No,8108190,6278693,36,344,2862906,1524475,Female,Single,56,Student,28,0,2385533,Semi-Urban,0.77,0
0,Graduate,No,9171173,14258316,6,627,8565644,3211308,Female,Married,32,Govt Job,26,0,4749389,Rural,1.55,1
2,Not Graduate,No,3460015,13221897,180,502,9945944,4070726,Female,Single,46,Business,5,1,779431,Urban,3.82,0
4,Graduate,Yes,4792375,12852948,60,639,1761625,4206671,Male,Married,26,Business,7,0,6113867,Rural,2.68,1
0,Graduate,Yes,9767237,15798306,12,681,2691700,3527299,Male,Divorced,61,Govt Job,25,0,1140639,Urban,1.62,1
1,Not Graduate,Yes,8579178,7122840,120,837,5932494,2947150,Male,Married,48,Business,25,0,7700192,Rural,0.83,1
4,Graduate,Yes,7479043,18367549,120,374,986191,1454331,Male,Married,48,Business,29,0,3559716,Rural,2.46,0
1,Not Graduate,Yes,1800749,11392998,24,758,3024072,3489989,Male,Divorced,47,Business,11,0,3209027,Semi-Urban,6.33,1
3,Graduate,No,604200,12550218,36,388,9874818,4589552,Male,Single,37,Retired,3,0,4517736,Urban,20.77,0
3,Not Graduate,No,5270431,14626533,60,300,1219060,369290,Female,Married,21,Salaried,4,0,809228,Semi-Urban,2.78,0
3,Graduate,Yes,2437963,9490161,240,838,5001626,178347,Female,Single,24,Business,8,0,3028849,Rural,3.89,1
4,Not Graduate,Yes,711874,4840005,36,334,3506747,2023619,Male,Single,26,Govt Job,21,0,2123919,Semi-Urban,6.8,0
0,Graduate,No,4939995,3903105,24,637,4884263,3039273,Female,Married,21,Business,17,0,4266152,Urban,0.79,1
2,Graduate,No,3109390,7209309,12,819,487558,2315405,Male,Single,45,Salaried,28,0,8658975,Rural,2.32,1
4,Not Graduate,No,5811643,14392115,12,343,6366766,4633918,Male,Single,52,Govt Job,7,0,1658533,Semi-Urban,2.48,0
4,Graduate,Yes,9336179,6368470,6,475,979116,3002305,Male,Divorced,57,Student,28,1,4116808,Semi-Urban,0.68,0
4,Graduate,Yes,2570386,5265490,180,786,7194328,4223213,Female,Divorced,59,Govt Job,1,0,9778088,Rural,2.05,1
0,Not Graduate,Yes,962097,2775771,120,681,9484386,946926,Female,Single,54,Retired,9,0,2678142,Rural,2.89,0
2,Not Graduate,Yes,4840699,5215904,36,615,9546758,4911732,Male,Single,28,Salaried,24,0,9916597,Urban,1.08,1
0,Not Graduate,No,2580664,8835684,36,664,7201279,1869050,Female,Married,55,Student,4,0,3037556,Semi-Urban,3.42,0
4,Graduate,No,7899166,17028012,180,617,4928727,172522,Female,Married,60,Retired,28,0,706426,Semi-Urban,2.16,0
4,Graduate,No,8880833,19049832,180,579,9875840,1046916,Male,Single,50,Business,12,0,3890846,Urban,2.15,0
0,Not Graduate,No,8342780,6889572,180,657,4210884,1463459,Female,Divorced,26,Business,8,0,9309494,Rural,0.83,1
4,Not Graduate,Yes,2175043,3744534,180,375,6534740,137089,Female,Divorced,38,Business,7,0,4896336,Semi-Urban,1.72,0
1,Graduate,Yes,3089629,2090169,180,611,2362608,2974214,Female,Single,42,Business,13,0,8359976,Rural,0.68,1
0,Graduate,Yes,1169052,14699220,12,577,3091697,610607,Female,Divorced,26,Salaried,17,1,4321778,Rural,12.57,0
2,Graduate,No,5856601,16924392,120,362,1377972,3209399,Female,Divorced,24,Retired,26,1,769383,Urban,2.89,0
1,Not Graduate,Yes,8762950,8601248,36,604,5570129,2205461,Male,Divorced,28,Govt Job,28,0,2934317,Rural,0.98,1
3,Graduate,No,7813052,4943670,12,839,1025143,1587741,Female,Single,40,Business,27,0,8776077,Semi-Urban,0.63,1
0,Not Graduate,Yes,4766399,4368597,120,674,4530001,3063426,Female,Divorced,21,Govt Job,11,0,8818642,Urban,0.92,1
2,Not Graduate,Yes,320084,7543681,12,780,7703337,797244,Male,Married,48,Govt Job,5,0,8013590,Urban,23.57,1
0,Not Graduate,No,2338379,5088438,60,454,100483,1823099,Male,Divorced,48,Salaried,18,0,1040999,Urban,2.18,0
0,Graduate,No,7653425,1294834,12,402,3450784,1326820,Male,Divorced,57,Govt Job,14,1,4085449,Rural,0.17,0
1,Not Graduate,No,8180331,3839680,60,869,6925798,89491,Male,Married,58,Govt Job,13,0,9189551,Rural,0.47,1
2,Graduate,No,4110938,597265,180,463,8276386,3711833,Female,Married,29,Retired,28,0,1496515,Urban,0.15,0
1,Graduate,Yes,5981784,8764586,24,628,9394433,3497341,Male,Married,58,Govt Job,9,0,4835068,Urban,1.47,0
2,Graduate,No,5520059,3340746,24,726,7560793,1296266,Female,Single,58,Govt Job,26,0,6850924,Rural,0.61,1
4,Graduate,No,389677,10493090,6,592,8430142,3926787,Female,Married,48,Business,18,0,1848251,Semi-Urban,26.93,0
4,Not Graduate,No,3443172,17195699,120,550,8170398,4865315,Female,Single,59,Student,16,1,2937190,Semi-Urban,4.99,0
3,Not Graduate,No,5799995,16472956,60,531,8919474,1375668,Female,Divorced,37,Govt Job,6,1,4428464,Urban,2.84,0
0,Graduate,Yes,7074291,8699163,180,884,7979671,363303,Female,Single,35,Business,5,0,6822991,Semi-Urban,1.23,1
3,Graduate,No,7624654,3337661,60,608,2493403,1380530,Male,Divorced,50,Govt Job,25,0,5734929,Rural,0.44,1
